주,영화관: (대한민국),박물관: (대한민국),미술관: (대한민국)
2023-12-31,24,58,32
2024-01-07,19,63,40
2024-01-14,18,64,36
2024-01-21,16,56,35
2024-01-28,17,56,37
2024-02-04,22,56,38
2024-02-11,25,56,37
2024-02-18,25,51,36
2024-02-25,37,57,34
2024-03-03,27,54,39
2024-03-10,26,60,45
2024-03-17,23,66,45
2024-03-24,22,65,48
2024-03-31,20,70,46
2024-04-07,20,66,47
2024-04-14,19,69,45
2024-04-21,24,66,43
2024-04-28,30,75,54
2024-05-05,24,74,49
2024-05-12,26,76,54
2024-05-19,21,75,49
2024-05-26,21,75,50
2024-06-02,22,74,48
2024-06-09,26,71,50
2024-06-16,28,74,49
2024-06-23,27,69,47
2024-06-30,27,67,52
2024-07-07,26,72,49
2024-07-14,24,72,44
2024-07-21,31,70,38
2024-07-28,28,74,39
2024-08-04,26,62,37
2024-08-11,31,67,38
2024-08-18,25,65,37
2024-08-25,20,68,40
2024-09-01,20,74,49
2024-09-08,24,89,52
2024-09-15,32,75,45
2024-09-22,23,80,49
2024-09-29,26,72,50
2024-10-06,18,72,52
2024-10-13,18,76,48
2024-10-20,21,74,45
2024-10-27,20,75,48
2024-11-03,17,68,49
2024-11-10,18,72,47
2024-11-17,25,97,57
2024-11-24,28,100,53
2024-12-01,26,88,44
2024-12-08,24,86,52
2024-12-15,30,76,48
2024-12-22,40,78,49
2024-12-29,29,73,42
