"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-01-31"
"실거래구분 : 상업업무용(매매)"
"주소구분 : 도로명주소"
"시도 : 전체"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"1","경기도 고양시 덕양구 성사동","집합","4**","충장로475번길","제2종일반주거","제1종근린생활","12m미만","13.65"," ","2,000","","-","-","202301","31","","1987","-","직거래","-"
"2","충청남도 보령시 웅천읍 독산리","집합","7**","열린바다1길","계획관리","숙박","25m미만","58.32"," ","2,751","3","-","-","202301","31","지분","2008","-","직거래","-"
"3","서울특별시 성북구 정릉동","집합","2**","솔샘로","제3종일반주거","제1종근린생활","25m미만","48.75"," ","26,500","1","-","-","202301","31","지분","2005","-","직거래","-"
"4","경기도 시흥시 하상동","집합","3**","연성로","준주거","제2종근린생활","25m미만","88.20"," ","14,200","7","-","-","202301","31","","2003","-","중개거래","경기 시흥시"
"5","경기도 시흥시 하상동","집합","3**","연성로","준주거","제2종근린생활","25m미만","116.80"," ","18,800","7","-","-","202301","31","","2003","-","중개거래","경기 시흥시"
"6","인천광역시 미추홀구 주안동","일반","1***","경원대로752번길","준주거","제1종근린생활","12m미만","177.51","231.40","95,000","","-","-","202301","31","","1982","-","중개거래","인천 남동구 인천 미추홀구"
"7","경기도 시흥시 월곶동","집합","9**","월곶중앙로","일반상업","제2종근린생활","25m이상","38.63"," ","46,500","1","-","-","202301","31","","2002","-","직거래","-"
"8","경기도 시흥시 월곶동","집합","9**","월곶중앙로","일반상업","제2종근린생활","25m이상","38.63"," ","46,500","1","-","-","202301","31","","2002","-","직거래","-"
"9","서울특별시 동대문구 답십리동","집합","9**","전농로4길","일반상업","판매","25m미만","46.05"," ","37,800","","-","-","202301","31","","1982","-","중개거래","경기 하남시"
"10","경기도 시흥시 정왕동","집합","1***","서촌상가2길","중심상업","제2종근린생활","25m미만","25.84"," ","13,500","1","-","-","202301","31","","1997","-","중개거래","경기 시흥시"
"11","충청남도 보령시 웅천읍 독산리","집합","7**","열린바다1길","계획관리","숙박","25m미만","77.20"," ","1,800","4","-","-","202301","31","지분","2008","-","직거래","-"
"12","경기도 가평군 설악면 신천리","일반","1**","","제2종일반주거","제1종근린생활","12m미만","39.60","215.00","8,400","","-","-","202301","31","","2005","-","직거래","-"
"13","충청북도 단양군 단양읍 상진리","집합","*","삼봉로","자연녹지","숙박","25m미만","40.80"," ","1,660","2","-","-","202301","31","지분","2004","-","직거래","-"
"14","세종특별자치시  소담동","집합","5**","한누리대로","일반상업","제2종근린생활","25m이상","106.24"," ","62,267","2","-","-","202301","31","","2018","-","직거래","-"
"15","경기도 파주시 야당동","집합","1***","경의로","일반상업","제2종근린생활","25m이상","189.99"," ","113,000","2","-","-","202301","31","","2019","-","중개거래","경기 파주시"
"16","경기도 가평군 설악면 방일리","집합","7**","","계획관리","숙박","8m미만","176.07"," ","19,300","","-","-","202301","31","지분","2016","-","직거래","-"
"17","경기도 가평군 설악면 방일리","집합","7**","","계획관리","숙박","8m미만","177.11"," ","19,668","","-","-","202301","31","지분","2016","-","직거래","-"
"18","경상북도 안동시 정하동","일반","2**","강남1길","제2종일반주거","제2종근린생활","25m미만","368.37","207.20","72,500","","-","-","202301","31","","2004","-","중개거래","경북 안동시"
"19","경기도 가평군 상면 행현리","일반","3**","축령로45번길","계획관리","숙박","8m미만","649.67","1856.00","166,000","","-","-","202301","31","","2012","-","중개거래","서울 서초구"
"20","충청북도 진천군 백곡면 구수리","일반","4**","","계획관리","제2종근린생활","8m미만","229.20","383.00","3,000","","-","-","202301","31","지분","1996","-","직거래","-"
"21","경기도 가평군 상면 행현리","일반","3**","축령로45번길","계획관리","숙박","8m미만","609.96","1976.00","166,000","","-","-","202301","31","","2012","-","중개거래","서울 서초구"
"22","경상북도 김천시 율곡동","집합","7**","혁신3로","일반상업","숙박","25m이상","28.88"," ","5,000","11","-","-","202301","31","","2014","-","중개거래","경북 김천시"
"23","충청북도 진천군 백곡면 구수리","일반","4**","","계획관리","제2종근린생활","8m미만","229.20","383.00","3,000","","-","-","202301","31","지분","1996","-","직거래","-"
"24","충청북도 진천군 백곡면 구수리","일반","4**","","계획관리","제2종근린생활","8m미만","229.20","383.00","4,750","","-","-","202301","31","지분","1996","-","직거래","-"
"25","경상북도 칠곡군 왜관읍 왜관리","일반","2**","2번도로길","일반상업","제2종근린생활","12m미만","494.22","409.00","70,000","","-","-","202301","31","","1996","-","직거래","-"
"26","충청북도 진천군 진천읍 건송리","일반","4*","건송길","보전관리","제2종근린생활","8m미만","1064.45","1002.00","225,200","","-","-","202301","31","","2017","-","직거래","-"
"27","경기도 가평군 상면 행현리","일반","6**","수목원로386번길","계획관리","숙박","8m미만","225.25","979.00","61,800","","-","-","202301","31","","2013","-","중개거래","경기 안산단원구"
"28","서울특별시 송파구 문정동","집합","6**","송파대로","일반상업","제1종근린생활","-","46.00"," ","102,464","1","-","-","202301","31","","2016","-","직거래","-"
"29","충청북도 진천군 진천읍 교성리","일반","2**","문화4길","제1종일반주거","제2종근린생활","8m미만","875.15","608.00","80,000","","-","-","202301","31","","1997","-","직거래","-"
"30","경기도 화성시 오산동","집합","9**","동탄기흥로","중심상업","업무","25m이상","40.74"," ","24,328","18","-","-","202301","31","","2022","20230207","중개거래","경기 화성시"
"31","경기도 양주시 옥정동","집합","9**","옥정서로1길","제3종일반주거","제1종근린생활","25m미만","38.10"," ","68,000","1","-","-","202301","31","","2019","-","중개거래","경기 남양주시 서울 금천구"
"32","강원특별자치도 속초시 중앙동","집합","4**","중앙로147번길","일반상업","제1종근린생활","8m미만","9.60"," ","2,500","","-","-","202301","31","","1990","-","중개거래","강원 속초시"
"33","경기도 양주시 옥정동","집합","9**","옥정서로1길","제3종일반주거","제1종근린생활","25m미만","38.10"," ","90,000","1","-","-","202301","31","","2019","-","중개거래","경기 남양주시"
